Wind speed oscillating speed [m/s],Power in [kW]
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,60
3.0,165
3.5,287
4.0,444
4.5,644
5.0,885
5.5,1174
6.0,1515
6.5,1913
7.0,2373
7.5,2897
8.0,3478
8.5,4090
9.0,4684
9.5,5214
10.0,5665
10.5,6053
11.0,6392
11.5,6677
12.0,6892
12.5,6997
13.0,7000
13.5,7000
14.0,7000
14.5,7000
15.0,7000
15.5,7000
16.0,7000
16.5,7000
17.0,7000
17.5,7000
18.0,7000
18.5,7000
19.0,7000
19.5,7000
20.0,7000
20.5,7000
21.0,6936
21.5,6780
22.0,6519
22.5,6142
23.0,5636
23.5,4977
24.0,4137
24.5,3138
25.0,2371
